user_id,categories,count,avg_stars
-038R5cSkXqsYl_bVdT3XQ, American (Traditional),2,4.5
-038R5cSkXqsYl_bVdT3XQ, Breakfast & Brunch,2,4.5
-038R5cSkXqsYl_bVdT3XQ,Delis,2,4.0
-2H3MnKkG2H-6sj_-u7nbA, Bars,2,2.5
-2H3MnKkG2H-6sj_-u7nbA, Breakfast & Brunch,3,4.666666666666667
-2H3MnKkG2H-6sj_-u7nbA, Cajun/Creole,2,4.0
-2H3MnKkG2H-6sj_-u7nbA, Chinese,6,1.8333333333333333
-2H3MnKkG2H-6sj_-u7nbA, Nightlife,2,2.5
-2H3MnKkG2H-6sj_-u7nbA, Seafood,4,2.75
-2H3MnKkG2H-6sj_-u7nbA, Steakhouses,2,1.5
-2H3MnKkG2H-6sj_-u7nbA,Mexican,2,3.0
-2H3MnKkG2H-6sj_-u7nbA,Sandwiches,2,3.0
-2H3MnKkG2H-6sj_-u7nbA,Seafood,2,2.5
-2H3MnKkG2H-6sj_-u7nbA,Southern,2,5.0
-2ywGJtQfa6JRShbkanDhg, American (Traditional),2,4.0
-2ywGJtQfa6JRShbkanDhg, Bars,3,4.0
-2ywGJtQfa6JRShbkanDhg, Breakfast & Brunch,2,4.0
-2ywGJtQfa6JRShbkanDhg,Nightlife,2,4.0
-3XmaZtkviptmrMhmgZwTw, American (Traditional),2,2.5
-3XmaZtkviptmrMhmgZwTw, Chinese,3,4.0
-3XmaZtkviptmrMhmgZwTw, Fish & Chips,2,2.5
-3XmaZtkviptmrMhmgZwTw, Pizza,2,4.0
-3XmaZtkviptmrMhmgZwTw, Sandwiches,4,3.25
-3XmaZtkviptmrMhmgZwTw, Seafood,2,2.5
-3XmaZtkviptmrMhmgZwTw, Vegan,2,2.5
-3XmaZtkviptmrMhmgZwTw,Seafood,2,2.5
-3XmaZtkviptmrMhmgZwTw,Southern,2,4.5
-3f51BVDofmMvwqmpCSRMA, Asian Fusion,2,2.5
-3f51BVDofmMvwqmpCSRMA, Breakfast & Brunch,2,3.5
-3f51BVDofmMvwqmpCSRMA, Burgers,2,3.5
-4tarCqjp2ExLJS_OdGnKQ, American (New),2,3.0
-4tarCqjp2ExLJS_OdGnKQ, American (Traditional),2,1.0
-4tarCqjp2ExLJS_OdGnKQ, Arts & Entertainment,2,1.5
-4tarCqjp2ExLJS_OdGnKQ, Bars,4,2.25
-4tarCqjp2ExLJS_OdGnKQ, Breakfast & Brunch,2,1.5
-4tarCqjp2ExLJS_OdGnKQ, Burgers,3,3.6666666666666665
-4tarCqjp2ExLJS_OdGnKQ, Nightlife,5,2.8
-71U5GVoAszVYqbwBflzRQ, American (New),2,4.5
-71U5GVoAszVYqbwBflzRQ, American (Traditional),2,1.5
-71U5GVoAszVYqbwBflzRQ, Burgers,2,1.5
-71U5GVoAszVYqbwBflzRQ, Pizza,3,3.6666666666666665
-77qd8rkbWZq9eN7YcYefA, American (New),3,3.333333333333333
-77qd8rkbWZq9eN7YcYefA, Bagels,2,3.0
-77qd8rkbWZq9eN7YcYefA, Bakeries,2,4.5
-77qd8rkbWZq9eN7YcYefA, Breakfast & Brunch,4,3.0
-77qd8rkbWZq9eN7YcYefA, Burgers,2,3.0
-77qd8rkbWZq9eN7YcYefA, Salad,2,3.0
-77qd8rkbWZq9eN7YcYefA, Sandwiches,4,3.75
-7UsexHfgvTGoIkjDqySGA, American (Traditional),3,3.333333333333333
-7UsexHfgvTGoIkjDqySGA, Asian Fusion,3,3.0
-7UsexHfgvTGoIkjDqySGA, Bars,3,3.6666666666666665
-7UsexHfgvTGoIkjDqySGA, Breakfast & Brunch,3,4.333333333333333
-7UsexHfgvTGoIkjDqySGA, Chinese,3,3.0
-7UsexHfgvTGoIkjDqySGA, Italian,4,3.5
-7UsexHfgvTGoIkjDqySGA, Mexican,2,3.0
-7UsexHfgvTGoIkjDqySGA, Nightlife,4,3.75
-7UsexHfgvTGoIkjDqySGA, Pizza,2,4.5
-7UsexHfgvTGoIkjDqySGA, Wine Bars,2,3.5
-7UsexHfgvTGoIkjDqySGA,Italian,3,4.333333333333333
-9BOs3rdWFMot0tlky983Q, American (Traditional),2,3.0
-9BOs3rdWFMot0tlky983Q, Barbeque,3,2.333333333333333
-9BOs3rdWFMot0tlky983Q, Burgers,2,5.0
-9BOs3rdWFMot0tlky983Q, Caterers,2,3.0
-9BOs3rdWFMot0tlky983Q, Mexican,2,3.5
-9BOs3rdWFMot0tlky983Q, Salad,4,3.75
-9BOs3rdWFMot0tlky983Q, Soup,2,4.5
-9BOs3rdWFMot0tlky983Q, Thai,2,4.5
-9BOs3rdWFMot0tlky983Q,Pizza,2,4.5
-A3_x7rT7YgPTEdfoK1o2g, American (Traditional),3,2.333333333333333
-A3_x7rT7YgPTEdfoK1o2g, Burgers,3,2.6666666666666665
-A3_x7rT7YgPTEdfoK1o2g, Canadian (New),2,2.0
-A3_x7rT7YgPTEdfoK1o2g, Chicken Shop,2,2.0
-A3_x7rT7YgPTEdfoK1o2g, Chicken Wings,2,2.0
-A3_x7rT7YgPTEdfoK1o2g, Chinese,3,3.0
-A3_x7rT7YgPTEdfoK1o2g, Diners,2,3.0
-A3_x7rT7YgPTEdfoK1o2g, Japanese,4,3.25
-A3_x7rT7YgPTEdfoK1o2g, Korean,2,2.5
-A3_x7rT7YgPTEdfoK1o2g, Noodles,2,3.5
-A3_x7rT7YgPTEdfoK1o2g, Polish,2,3.5
-A3_x7rT7YgPTEdfoK1o2g, Ramen,4,3.5
-A3_x7rT7YgPTEdfoK1o2g, Seafood,2,4.0
-A3_x7rT7YgPTEdfoK1o2g,Japanese,2,3.0
-A3_x7rT7YgPTEdfoK1o2g,Korean,2,4.5
-AMCsAcvnZ55HVAQd33oUQ, Bars,3,4.0
-AMCsAcvnZ55HVAQd33oUQ, Italian,2,4.0
-AMCsAcvnZ55HVAQd33oUQ, Nightlife,3,4.0
-AMCsAcvnZ55HVAQd33oUQ, Vegan,2,4.5
-AMCsAcvnZ55HVAQd33oUQ,Chinese,2,4.5
-ATqNRxQPSCiG62lf-yJbw, American (Traditional),2,4.5
-ATqNRxQPSCiG62lf-yJbw, Bars,2,4.5
-ATqNRxQPSCiG62lf-yJbw, Breakfast & Brunch,2,4.0
-ATqNRxQPSCiG62lf-yJbw, Italian,2,4.5
-ATqNRxQPSCiG62lf-yJbw, Nightlife,2,4.5
-CeCjt_9nZAp2MNvD23SUQ, American (Traditional),2,3.0
-CeCjt_9nZAp2MNvD23SUQ, Nightlife,2,3.0
-CeCjt_9nZAp2MNvD23SUQ, Sports Bars,2,3.0
-CeCjt_9nZAp2MNvD23SUQ,Bars,2,3.0
-Dhp4C3IMQcwME4XB0A0FA, Breakfast & Brunch,2,5.0
-Dhp4C3IMQcwME4XB0A0FA, Greek,2,5.0
-Dhp4C3IMQcwME4XB0A0FA, Mediterranean,2,5.0
-Dhp4C3IMQcwME4XB0A0FA, Middle Eastern,2,5.0
-Dhp4C3IMQcwME4XB0A0FA, Sandwiches,2,5.0
-G6pLcro8Kkiha84-pI9AQ, Burgers,2,4.5
-G6pLcro8Kkiha84-pI9AQ, Chicken Wings,2,4.5
-G6pLcro8Kkiha84-pI9AQ, Delis,2,4.5
-G6pLcro8Kkiha84-pI9AQ, Salad,3,4.333333333333333
-G6pLcro8Kkiha84-pI9AQ,Pizza,2,4.5
-GauGrGp2JisJWKkwllLdg, Sandwiches,2,3.5
-GauGrGp2JisJWKkwllLdg,Mexican,2,4.0
-GauGrGp2JisJWKkwllLdg,Vietnamese,2,5.0
-GyQ2v0WQAX_17XydoKeTQ, Bars,3,5.0
-GyQ2v0WQAX_17XydoKeTQ, Hookah Bars,2,5.0
-GyQ2v0WQAX_17XydoKeTQ, Lounges,2,5.0
-GyQ2v0WQAX_17XydoKeTQ, Nightlife,3,5.0
-H08T7DCk08DuBpSQSe5NQ, Casinos,2,3.0
-H08T7DCk08DuBpSQSe5NQ, Event Planning & Services,2,3.0
-H08T7DCk08DuBpSQSe5NQ, Hotels & Travel,2,3.0
